id,lon,lat,ctl_map,exp_map,ctl_mcwd,exp_mcwd,comp
0,   264.4,    69.2,   513.2,   567.4,   -46.4,   -26.3,     5.5
1,    78.8,    63.7,   414.5,   437.2,  -125.4,  -114.2,     4.5
2,   202.5,    63.7,   963.6,   907.9,    -0.5,    -1.8,     2.5
3,   208.1,    63.7,  1072.0,   999.2,    -0.3,    -1.8,     2.5
4,   213.8,    63.7,  1086.5,  1029.9,    -0.8,    -3.5,     2.5
5,   219.4,    63.7,  1051.1,  1022.1,   -14.8,   -20.9,     2.5
6,   230.6,    63.7,   898.0,   916.3,  -169.6,  -153.4,     4.5
7,   236.2,    63.7,   852.8,   868.9,  -193.7,  -175.4,     4.5
8,    33.8,    58.1,   792.3,   817.2,  -184.6,  -167.4,     4.5
9,    61.9,    58.1,   707.4,   778.6,   -89.4,   -54.3,     5.5
10,   106.9,    58.1,   725.8,   765.5,  -272.6,  -266.5,     4.5
11,   112.5,    58.1,   501.4,   547.6,  -171.9,  -161.6,     4.5
12,   118.1,    58.1,   688.2,   745.7,  -215.3,  -205.5,     4.5
13,   286.9,    58.1,   881.6,   844.1,   -34.7,   -46.0,     2.5
14,    39.4,    52.6,   537.0,   568.0,  -170.9,  -156.1,     4.5
15,    45.0,    52.6,   667.1,   717.4,  -153.6,  -141.1,     4.5
16,   241.9,    52.6,  1176.4,  1310.0,   -67.3,   -34.5,     5.5
17,     5.6,    47.1,   718.9,   833.4,  -111.6,   -54.9,     5.5
18,    33.8,    47.1,   378.6,   415.3,  -132.5,  -123.9,     4.5
19,    39.4,    47.1,   445.7,   471.4,  -151.6,  -140.8,     4.5
20,    45.0,    47.1,   339.0,   373.1,   -85.4,   -72.3,     5.5
21,    50.6,    47.1,   119.8,   137.9,   -28.2,   -23.1,     5.5
22,   135.0,    47.1,  1020.7,  1124.4,  -178.7,  -138.7,     5.5
23,   236.2,    47.1,  1270.9,  1399.0,  -179.8,  -126.5,     5.5
24,   241.9,    47.1,   977.2,  1113.0,  -203.2,  -129.4,     5.5
25,    28.1,    41.5,   433.4,   509.6,  -185.9,  -165.1,     5.5
26,    90.0,    41.5,   105.6,   134.1,   -49.2,   -43.9,     5.5
27,   236.2,    41.5,  1003.5,  1108.5,  -348.7,  -297.6,     5.5
28,    33.8,    36.0,    28.5,    35.4,   -13.7,   -11.5,     5.5
29,    45.0,    36.0,    45.4,    56.9,   -18.3,   -16.0,     5.5
30,    50.6,    36.0,    34.0,    47.2,   -17.7,   -14.2,     5.5
31,    67.5,    36.0,   120.2,   176.1,   -68.2,   -59.3,     5.5
32,    73.1,    36.0,   174.8,   253.9,   -78.3,   -62.5,     5.5
33,    78.8,    36.0,   280.1,   365.7,   -70.7,   -50.1,     5.5
34,    84.4,    36.0,   277.1,   347.7,   -97.2,   -75.3,     5.5
35,    90.0,    36.0,   122.1,   150.0,   -51.5,   -45.0,     5.5
